查询_8000C码率查询_20160325133831
测量类型:,码率级别 
查询时间:,2016-03-25 00:00:00 - 2016-03-26 00:00:00
制表人:,admin
制表时间:,2016-03-25 13:38:31
序号,开始时间,结束时间,查询粒度,网元位置,VOD用户数,VOD流量(kbps),TVOD用户数,TVOD流量(kbps),TSTV用户数,TSTV流量(kbps)
105,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-1",659,1501600,336,614704,144,472000
106,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jdpop5-2",582,1395900,367,681320,138,378080
107,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-1",134,289100,106,216104,33,105432
108,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-2",391,873900,242,429840,36,109016
109,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-3",237,538000,154,266920,39,108536
110,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-4",296,595100,196,336896,39,118848
111,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=jspop5-qy",4,13300,70,189544,23,61224
112,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop2-2",22,55600,0,0,1,8176
113,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=nhpop3-1",334,846800,183,372144,40,122536
114,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-1",296,726200,176,316560,52,149496
115,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=nhpop4-qy",8,13600,74,233328,6,38480
116,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-1",477,1075400,270,524136,108,320272
117,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=nhpop5-qy",395,1016000,194,419744,83,266736
118,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"三期四期扩容,pdpop2-3",0,0,9,18000,0,0
119,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_1",32,67000,10,16128,5,11776
120,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"三期四期扩容,ZXUSS_VS8000CID=pdpop3_2",52,112900,33,56032,13,35920
121,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-1",195,468000,157,313704,31,92128
122,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"五期扩容,ZXUSS_VS8000CID=pdpop4-2",326,752000,281,504504,105,316128
123,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-1",12,32600,73,411160,55,215496
124,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-2",380,910900,219,406392,92,263072
125,2016-03-25 00:15:00,2016-03-25 00:30:00,15分钟,"六期扩容,ZXUSS_VS8000CID=pdpop5-3",422,915300,286,540760,95,297424
